Image Link,Center,Openings,Link1,Link2,Link3,Link4,Link5,Link6
https://drive.google.com/open?id=1OTfJTu9CsEfBebN-XtRvlGhR3w02dk0G,Blank,5,BBBBBBB,BBBBBBB,BHSHDBP,DBSDPBS,HDSTHHT,BBBBBBB
https://cdn.discordapp.com/attachments/666872924967403550/667411557583421450/code3-Titan-2pm.jpg,Blank,3,BBBBBBB,BBBBBBB,BTBDTCS,CDHCPTT,HTHDTTS,BBBBBBB
https://drive.google.com/open?id=1Gc9UNZ-BrjeBx6J6ZrxMKh8lkQMQvmDf,Blank,"2,5",BBBBBBB,BBBBBBB,CHBDBCD,HTSCBBP,CBPDHHC,BBBBBBB
https://drive.google.com/open?id=1IhwXGeEN50TrnIT6vszvtVO17wX58_ch,Blank,4,BBBBBBB,BBBBBBB,CHBSCDT,HHBSPHC,DSTDCPS,BBBBBBB
https://media.discordapp.net/attachments/666872924967403550/667154043378073610/image0.jpg?width=764&height=676,Blank,"3,5",BBBBBBB,BBBBBBB,CHSHTDD,BBCCSPH,HTCSHBS,BBBBBBB
https://drive.google.com/open?id=1YsMLQUEqxV_EyeOsVwLZOYVa7RkxTaIx,Blank,4,BBBBBBB,BBBBBBB,CPCHSCH,SDHCPCD,CTBPHCT,BBBBBBB
https://media.discordapp.net/attachments/666873697763590144/667194074717093918/ap-A60D7F73-5A31-407F-A00C-A386D2A9D3CA.JPEG?width=400&height=225,Clover,4,BBBBBBB,BBBBBBB,CPSHHDH,SSTBTPD,BSHCPTH,BBBBBBB
https://cdn.discordapp.com/attachments/581389917704290315/666983878401065020/1-14-2020_8-33-27_PM-b5nk4h2c.png,Blank,5,BBBBBBB,BBBBBBB,DDCSSDC,SPHTBPH,TBPSPDS,BBBBBBB
https://drive.google.com/open?id=1nNnLt7yY3iM5SD86Bw2Xm6Gp0uo6E94o,Blank,"3,5",BBBBBBB,BBBBBBB,DPCDDDP,TCTTSBH,SPDPCDC,BBBBBBB
https://cdn.discordapp.com/attachments/667486768941236235/667504890280411151/Destiny_2_Screenshot_2020.01.16_-_17.57.36.68.png,Blank,3,BBBBBBB,BBBBBBB,PCDPBHC,BSPPTHT,CTPSBTT,BBBBBBB
https://cdn.discordapp.com/attachments/376081734371901453/667505542398214147/unknown.png,Blank,4,BBBBBBB,BBBBBBB,PDBSDBD,BHSSTBC,SBHHDHT,BBBBBBB
https://drive.google.com/open?id=1_iTaX9rmYywZWVvjhVGe1MDmAwfCbDJV,Hex,"4,5,6",BBBBBBB,BBBBBBB,PHCCSHD,TCTCBDC,STHTCHS,BTBDBSP
https://drive.google.com/open?id=16fHyGmnjrc_2t4N7c2g8DJDveLV2QZZy,Blank,5,BBBBBBB,BBBBBBB,SCHHCPT,PDBCHDD,HPHBPHS,BBBBBBB
https://cdn.discordapp.com/attachments/666872924967403550/667287178224599050/save_1.png,Diamond,"3,4,5",BBBBBBB,BBBBBBB,SSTDCPS,PCTHHDH,HSSSPPS,BBBBBBB
https://gyazo.com/8cb347d4eaffd4dff576a960236ec859,Blank,3,BBBBBBB,BBBBBBB,SSTHDBT,CSDBPSD,CPSSCPC,BBBBBBB
https://gyazo.com/a6af49a19d76b6d5f2bc9628b7962347,Blank,"3,5",BBBBBBB,BBBBBBB,TTPPBPD,SPPPSHS,HPDSPCT,BBBBBBB
https://i.gyazo.com/thumb/1200/13dc8171bb6813d87134f7b6a3ae4bc4-png.jpg,Blank,"2,6",BBBBBBB,CBPDHHC,HHBSHCP,SDTCSPD,HHHPBDT,HHBCPPH
https://gyazo.com/27d371fcc731726c094eb595a47d3409,Blank,3,BBBBBBB,CPSSCPC,BCHHCHT,SDHBBBB,BSPTBSH,SDTSHCT
https://drive.google.com/file/d/1XQX8oKeGH5LONPwhTiR3uIDfbfvfnpGM/view,Blank,3,BBBBBBB,CTPSBTT,SHCDSPT,BPCPHTD,BHTBDHD,CHBSCDT
https://cdn.discordapp.com/attachments/666872924967403550/667518693491605514/1085660_20200116180113_1.png,Clover,"2,3,4,5",BBBBBBB,DBCBDTS,HBTCTHS,HPHTCTH,DSSSDDC,CSHBBSH
https://gyazo.com/e1f11f1a4d5df6d61fb332285a9d50ed,Blank,"2,6",BBBBBBB,HBSTDHC,PCDTHCB,BBSCDCT,BTDBPCT,SSTDCPS
