Image Link,Center,Openings,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,
https://i.imgur.com/TPLpcmc.png,Blank,"2,3,5",SDHTHSP,HPHTCBB,CSPCTTT,CBSBHPT,BSSPDBH,PCCTBSS,
https://cdn.discordapp.com/attachments/666873697763590144/666912228271718410/Destiny_2_20200115084508.jpg,Blank,5,HCCPPHS,STTPTTD,BDHCTBS,HHTHDPS,DCTCTCT,CHTCTBH,
https://cdn.discordapp.com/attachments/666873697763590144/666975010488975372/FreezingDartEmblem.png,Blank,"2,4,6",PBBHTTS,PCHPCDB,CSBCTDH,PSHDCBT,CPPDDBC,CSHHCSB,
https://imgur.com/NyAnNJa,Blank,"2,6",TPHCHPP,TCHTSPT,CCPHCBP,SBSSCHH,HSBHHHP,CSHHHBP,
https://imgur.com/Tg1o7dn,Blank,"1,2",BHTPBBD,SSBTHHH,CPDSHSS,DTCCTCS,DSPPCCP,BTBSHCD,
https://cdn.discordapp.com/attachments/666873697763590144/666975010488975372/FreezingDartEmblem.png,Blank,"2,4,6",PBBHTTS,PCHPCDB,CSBCTDH,PSHDCBT,CPPDDBC,CSHHCSB,
https://cdn.discordapp.com/attachments/666873697763590144/666976285989535760/aprilemblemcode.jpg,Blank,4,SBSTSPH,THBPSPD,CHHSP?C,CPPSDSH,CBCHBDC,DTCDCHS,
https://cdn.discordapp.com/attachments/666873697763590144/666976555892736020/unknown.png,Blank,"3,6",BCCCPTD,BPSCBSS,TBBSCDD,TDTBCTC,CCPHBDB,BDTHDDS,
https://cdn.discordapp.com/attachments/666873697763590144/666959515878424576/Titan_Reveal_1_No_HUD.png,Blank,"1,5",TBBSTHB,BDDPSBP,SPTSHBS,SCHCSTH,TTTHBSP,BBHDDPH,
https://cdn.discordapp.com/attachments/666873697763590144/666976668476375060/emblemcode.jpg,Blank,1,TPBCTTP,BSPCHPB,CBDDCHD,CTSHCSC,SBHHBCT,DDSDTHD,
https://cdn.discordapp.com/attachments/666873697763590144/666976957602332693/tiger_release_final_20200114_214559.png,Blank,"3,6",SDCDTDT,TBBTDHH,SCDCCHB,SSBPPHD,HSDPPTB,DHSPTTH,
https://cdn.discordapp.com/attachments/666873697763590144/666959779415195649/Warlock_Reveal_1_No_HUD.png,Blank,"2,4",SSCTHPT,PPDCSHC,SDTCDHC,PTBDBTB,BBBBBBB,BBBBBBB,
https://cdn.discordapp.com/attachments/666873697763590144/666959914832363520/Warlock_Reveal_2_No_HUD.png,Blank,"3,5,6",CDTHPPH,SHHTDBS,DDBCCPS,BSTBSPC,SBHBDBC,DHTSDTS,
https://imgur.com/a/BGAWe0I,Blank,"1,2,4,5",CPSTSTH,SHSBCSH,DDTPTHH,CBDTTCT,TSCCBTS,THSCPPP,
https://cdn.discordapp.com/attachments/666961051379564575/666976930284830785/unknown.png,Blank,"2,4",CHTBBBH,SPCBCHS,SCHBTCS,PPSCSPT,PDCPHDD,HHCSHBC,
https://i.imgur.com/jlXBIAW.jpg,Blank,"1,4",TCDCPSH,PBDHTCT,DBPCHHD,SCTDBSP,DSTDBPD,CCCPDCH,
https://cdn.discordapp.com/attachments/666873697763590144/666981589812510730/20200115132240_1.jpg,Blank,4,CSTPHTH,CBHDCSB,DPSSDPP,BDDDTCS,PSBSCSP,TTCSSTH,
https://cdn.discordapp.com/attachments/666873697763590144/666982448617226250/Emblem_2.png,Blank,6,HCSTDST,SCCBBCS,BBBBBBB,BBBBBBB,BBBBBBB,BTDHSSH,
https://cdn.discordapp.com/attachments/666961051379564575/666961338370621497/unknown.png,Blank,"2,4",CHDTCPB,SHHBDBC,DTPDTTD,DPBCCTS,SDPHSHB,DSBBBC,
https://cdn.discordapp.com/attachments/666961051379564575/666961099618254848/unknown.png,Blank,"2,4",CHTBBBH,SPCBCHS,SCHBTCS,PPSCSTP,PDCPHDD,HHCSHBC,
https://cdn.discordapp.com/attachments/666873697763590144/666951957902262282/em2.png,Blank,"5,6",CCSTDCP,HDPPCHC,SSBSSSC,DSTBHHP,CSSTHCC,DPSTTPH,
https://cdn.discordapp.com/attachments/581389917704290315/666983878401065020/1-14-2020_8-33-27_PM-b5nk4h2c.png,Blank,5,BBBBBBB,BBBBBBB,DDCSSDC,SPHTBPH,TBPSPDS,BBBBBBB,
https://cdn.discordapp.com/attachments/409961893512478723/666984225425326110/exEToDD.png,Blank,5,PHPPDTT,SPDCSTP,BBSDHCP,THPBCHH,BDBDBTB,TPHTTTT,
https://cdn.discordapp.com/attachments/581389917704290315/666983941042995201/1-14-2020_9-53-08_PM-u53r3ec3.png,Blank,"5,6",PTCCPDT,CBBHBBP,BDDHDHD,BTPTTBC,THTTDSP,HDSPSCH,
https://cdn.discordapp.com/attachments/666873697763590144/666987801832587315/lock1.jpg,Blank,"2,3,6",SDHTHSP,HPHTCBB,CSPCTTT,CBSBHPT,BSSPDBH,PCCTBSS,
https://media.discordapp.net/attachments/666872924967403550/666987794144428057/unknown.png?width=720&height=552,Blank,1,HDTBBHP,DHCHHBC,PCDCBSC,DCTHHPP,THDBHTB,PDBPTBS,
https://cdn.discordapp.com/attachments/666873697763590144/666989189593563146/titan1.jpg,Blank,3,DPSPPCH,SHTSCSH,CCCSTBP,SCHPPHB,PCHSDPB,STSPSHT,
https://cdn.discordapp.com/attachments/666873697763590144/666988854326067231/unknown.png,Blank,"2,5",PHBPDCS,HHPTHDB,SSBPPBC,BDHPHDS,CDHBBHD,STBCSST,
https://i.imgur.com/EpISnaV.jpg,Blank,"1,3,5",HDPPCHH,DHHHBPP,SBPBBCS,SPBPHBT,PSHTHSH,TTCPBDS,
https://cdn.discordapp.com/attachments/666873697763590144/666991723083202620/fc34cab4-8f1a-464c-a8ec-6e51a1a56e96.png,Blank,"2,4",PDTBCSC,SPCCHST,HTHDTHC,PTPBDCC,CCPCBCD,THPPBSH,
https://imgur.com/HedGQgd,Blank,"2,5",PHBPDCS,HHPTHDB,SSBPPBC,BDHPHDS,CDHBBHD,STBCSST,
https://i.imgur.com/lIXIKpu.jpg,Blank,"3,5",TDCPTPD,SCDTSCH,TDDTCPT,BDTSHST,PHTBCSD,SHBPSTS,
https://i.imgur.com/KmrK68q.jpg,Blank,"5,6",PTDTCBP,DTBCSDD,CPCCTHS,DDPBSCD,TTDTCTB,SPPPBHH,
